handle,first_name,last_name,country,city,rating,max_rating,rank,max_rank,organization
Benq,Benjamin,Qi,United States,Princeton,3581,3833,legendary grandmaster,legendary grandmaster,MIT
DearMargaret,Midaho,,Taiwan,Taipei,3545,3545,legendary grandmaster,legendary grandmaster,
Radewoosh,Mateusz,Radecki,Poland,Warsaw,3509,3759,legendary grandmaster,legendary grandmaster,University of Warsaw
Rebelz,Tingqiang,Xu,China,Beijing,3409,3415,legendary grandmaster,legendary grandmaster,RDFZ
sunset,Xiuhan,Wang,China,Beijing,3338,3438,legendary grandmaster,legendary grandmaster,Jiangly Fan Club
ksun48,Kevin,Sun,Canada,,3332,3654,legendary grandmaster,legendary grandmaster,MIT
mnbvmar,Marek,Sokolowski,Poland,Warsaw,3297,3509,legendary grandmaster,legendary grandmaster,University of Warsaw
scott_wu,Scott,Wu,United States,San Francisco,3297,3350,legendary grandmaster,legendary grandmaster,USACO
ugly2333,Yixin,Chen,China,Nanjing,3235,3296,legendary grandmaster,legendary grandmaster,Nanjing University of Posts and Telecommunications
webmaster,,,,,3203,3203,legendary grandmaster,legendary grandmaster,Jiangly Fan Club
fateice,Shuyi,Yan,China,Fuzhou,3151,3337,legendary grandmaster,legendary grandmaster,Tsinghua University
p_b_p_b,,,China,Beijing,3137,3137,legendary grandmaster,legendary grandmaster,Jiangly Fan Club
Qingyu,Qingyu,Shi,,,3065,3065,legendary grandmaster,legendary grandmaster,Universal Cup
244mhq,Yahor,Dubovik,Belarus,Gomel,3061,3278,legendary grandmaster,legendary grandmaster,Harbour.Space University
cuizhuyefei,Zhuorui,Ye,China,Hangzhou,3049,3049,legendary grandmaster,legendary grandmaster,Hangzhou No.2 High School
cz_xuyixuan,Yixuan,Xu,China,Changzhou,3030,3030,legendary grandmaster,legendary grandmaster,Changzhou Senior High School of Jiangsu Province
snuke,Kento,Nikaido,Japan,Tokyo,3017,3251,legendary grandmaster,legendary grandmaster,AtCoder
consecutivelimit,Zhixian,Zhong,China,Fuzhou,3015,3015,legendary grandmaster,legendary grandmaster,FZYZ OI Group
zx2003,,,China,Hangzhou,3013,3013,legendary grandmaster,legendary grandmaster,Hangzhou No.2 High School
whzzt,Zhenting,Zhu,China,Wuhu,2995,3025,international grandmaster,legendary grandmaster,Tsinghua University
lych_cys,Yancheng,Liang,China,Ningbo,2963,2963,international grandmaster,international grandmaster,Zhenhai High School
TLEwpdus,Jeyeon,Si,South Korea,Seoul,2956,3036,international grandmaster,legendary grandmaster,Seoul National University
nocriz,Zhikun,Wang,China,Jinan,2950,2950,international grandmaster,international grandmaster,University of Illinois at Urbana-Champaign
heno239,,,Japan,,2947,3385,international grandmaster,legendary grandmaster,Kyoto University
HIR180,Hirotaka,Isa,Japan,Maebashi,2946,3102,international grandmaster,legendary grandmaster,The University of Tokyo
Dmitriy.Belichenko,Dmitry,Belichenko,Russia,Saint Petersburg,2937,2969,international grandmaster,international grandmaster,Saint-Petersburg SU
Anadi,Anadi,Agrawal,,,2923,2957,international grandmaster,international grandmaster,University of Wrocław
PinkRabbitAFO,Liangzhou,Chen,China,Fuzhou,2913,2913,international grandmaster,international grandmaster,Affiliated High School of Fujian Normal University
krijgertje,hsr_Erik-Jan,Krijgsman,Netherlands,Enschede,2900,3001,international grandmaster,legendary grandmaster,
mango_lassi,Antti,Roeyskoe,Switzerland,Zurich,2888,3089,international grandmaster,legendary grandmaster,ETH Zurich
Sugar_fan,Yaowei,Lyu,China,,2886,3023,international grandmaster,legendary grandmaster,Universal Cup
Cyanic,Zhean,Xu,China,Beijing,2880,2880,international grandmaster,international grandmaster,Tsinghua University
Egor,Egor,Kulikov,Germany,Munich,2870,3235,international grandmaster,legendary grandmaster,JetBrains
Swistakk,Wojciech,Nadara,Poland,Warsaw,2864,3105,international grandmaster,legendary grandmaster,University of Warsaw
antontrygubO_o,Anton,Trygub,Ukraine,Kyiv,2863,3116,international grandmaster,legendary grandmaster,MIT
A.K.E.E.,Yusi,Chen,China,Beijing,2856,2948,international grandmaster,international grandmaster,Confucius Institute
neal,Neal,Wu,United States,,2855,3147,international grandmaster,legendary grandmaster,USACO
Marcin_smu,Marcin,Smulewicz,Poland,Warsaw,2845,3126,international grandmaster,legendary grandmaster,University of Warsaw
AwD,F,zY,China,Hangzhou,2837,2837,international grandmaster,international grandmaster,Tsinghua University
TLE,Ziqian,Zhong,China,Fuzhou,2833,3374,international grandmaster,legendary grandmaster,Jiangly Fan Club
majk,Michal,Svagerka,Czechia,,2828,2928,international grandmaster,international grandmaster,ETH Zurich
AprilGrimoire,,,China,Suzhou,2825,2825,international grandmaster,international grandmaster,Suzhou High School
kcm1700,ChanMin,Kim,South Korea,Seoul,2823,2920,international grandmaster,international grandmaster,Seoul National University
sansen,,,Japan,,2822,2827,international grandmaster,international grandmaster,
ainta,Sunghyeon,Jo,South Korea,Seoul,2820,3318,international grandmaster,legendary grandmaster,Seoul National University
wasa855,Weicheng,Wang,China,Hangzhou,2815,2846,international grandmaster,international grandmaster,Peking University
risujiroh,,,Japan,,2814,2857,international grandmaster,international grandmaster,
never_giveup,Ramazan,Rakhmatullin,Russia,Mytishchi,2807,3096,international grandmaster,legendary grandmaster,Maksim1744 fan club
why_no_girlfriend,yiming,xuan,China,Ningbo,2806,2806,international grandmaster,international grandmaster,
jijiang,,,,,2803,2934,international grandmaster,international grandmaster,
Amoo_Safar,Ali,Safari,Iran,Tehran,2797,2982,international grandmaster,international grandmaster,Sharif FUT
voidmax,Vladimir,Romanov,Russia,Moscow,2797,2797,international grandmaster,international grandmaster,pinely
FizzyDavicl,Junzhao,Yang,China,Nanjing,2791,2791,international grandmaster,international grandmaster,Nanjing Foreign Language School
Sulfox,"Sooke (used name),",Fennecus zerda,China,,2791,2833,international grandmaster,international grandmaster,Northeastern University
alireza_kaviani,Alireza,Kaviani,Iran,Tehran,2791,3012,international grandmaster,legendary grandmaster,Allame Helli
Roundgod,Chunyang,Wang,China,Nanjing,2780,2814,international grandmaster,international grandmaster,Nanjing University
uwi,Uwi,Tenpen,Japan,Tokyo,2768,2935,international grandmaster,international grandmaster,"Pirika, Inc."
tqyaaaaang,Tianqi,Yang,China,Nanjing,2764,2867,international grandmaster,international grandmaster,NSFZ
Kirill22,Kirill,Kudryashov,Russia,Ivanovo,2762,2775,international grandmaster,international grandmaster,Zhyga-Dryga
zscoder,Zi Song,Yeoh,Malaysia,,2760,2938,international grandmaster,international grandmaster,MIT
-skyline-,Qunyou,Xiao,China,,2749,2749,international grandmaster,international grandmaster,Jiangly Fan Club
DerekFeng,Feng,TQ,China,Wuxi,2746,2746,international grandmaster,international grandmaster,Jiangsu Xishan Senior High School
Eccentricity,,,,,2743,2790,international grandmaster,international grandmaster,
simonlindholm,Simon,Lindholm,Sweden,Stockholm,2739,2801,international grandmaster,international grandmaster,Royal Institute of Technology
Hazyknight,Zikuan,Huang,China,Beijing,2735,2937,international grandmaster,international grandmaster,Tsinghua University
Sol1,King,of The Heavens,China,Beijing,2733,2865,international grandmaster,international grandmaster,The Affiliated High School of Peking University
Hybrid-yg,Guang,Yang,China,Wuhu,2724,2724,international grandmaster,international grandmaster,ASDFZ
wygzgyw,,,China,Shanghai,2724,2724,international grandmaster,international grandmaster,Peking University
Noam527,Noam,Gutterman,Israel,Qiryat Moẕqin,2722,2898,international grandmaster,international grandmaster,BetterWithoutMaimonidesFund
yasugongshang,Zhanpeng,Wang,China,Shaoxing,2719,2836,international grandmaster,international grandmaster,
AutumnKite,Yuhao,Meng,China,Shaoxing,2714,2871,international grandmaster,international grandmaster,Shaoxing No.1 High School
ohweonfire,Sunli,Chen,China,Nanjing,2714,3076,international grandmaster,legendary grandmaster,Tsinghua University
kobae964,Hiroki,Kobayashi,Japan,Tokyo,2712,2713,international grandmaster,international grandmaster,University of Tokyo
nantf,Bo,Guo,China,,2712,2906,international grandmaster,international grandmaster,Cocolis University
lucyanna2018,Guodong,Feng,China,Shanghai,2711,2711,international grandmaster,international grandmaster,
JettyOller,¯_(ツ)_¯,,Vietnam,,2710,2938,international grandmaster,international grandmaster,
_rqy,Qingyu,Ren,China,Jinan,2709,2742,international grandmaster,international grandmaster,Licheng No.2 Middle School
mjhun,Matías,Hunicken,Argentina,Córdoba,2708,2769,international grandmaster,international grandmaster,FaMAF
chenjb,Jingbang,Chen,China,Guangzhou,2705,2735,international grandmaster,international grandmaster,Universal Cup
Martin53,,,Bulgaria,,2704,2704,international grandmaster,international grandmaster,
RDDCCD,ZiXuan,Yan,China,Hangzhou,2702,2702,international grandmaster,international grandmaster,Zhejiang University
RinkaSnow,,,,,2702,2711,international grandmaster,international grandmaster,
Brovko,Roman,Brovko,Russia,Saratov,2701,2894,international grandmaster,international grandmaster,Saratov State U
Kostroma,Aleksandr,Ostanin,Netherlands,Amsterdam,2700,3024,international grandmaster,legendary grandmaster,pinely
kriii,GyeongGeun,Kim,South Korea,,2699,2792,international grandmaster,international grandmaster,
Suiseiseki,,,China,Wuhu,2694,2717,international grandmaster,international grandmaster,ASDFZ
JOHNKRAM,,,China,Wuhu,2692,2798,international grandmaster,international grandmaster,ASDFZ
shb123,Shihan,Chen,China,Wenzhou,2691,2691,international grandmaster,international grandmaster,Zhejiang University
amethyst0,Evgenii,Belykh,Russia,Velikiy Ustyug,2689,2998,international grandmaster,international grandmaster,pinely
Reyna,Arash,Mahmoudian Bidgoli,Canada,Waterloo,2688,2997,international grandmaster,international grandmaster,University of Waterloo
hank55663,Yu hang,Sheng,Taiwan,Taipei,2683,3064,international grandmaster,legendary grandmaster,National Central University
laofudasuan,fu,lao,China,Changsha,2682,2682,international grandmaster,international grandmaster,Changjun High School
T1duS,Udit,Sanghi,India,Kanpur,2681,2681,international grandmaster,international grandmaster,National University of Singapore
fedoseev.timofey,Timofey,Fedoseev,,,2679,2907,international grandmaster,international grandmaster,
saketh,Saketh,Are,United States,New York,2679,2771,international grandmaster,international grandmaster,NEAR.ai
ATS,,,Japan,,2678,2773,international grandmaster,international grandmaster,
matthew99,Xiao,Mao,,,2678,3100,international grandmaster,legendary grandmaster,MIT
GoForIt,Grammar,Mistakes,,,2673,2673,international grandmaster,international grandmaster,Nanjing Foreign Language School
lastans,,,,,2673,2673,international grandmaster,international grandmaster,
yashChandnani,Yash,Chandnani,India,Jaipur,2668,2796,international grandmaster,international grandmaster,IIT Kanpur
Aidos,Aidos,Nurmash,Kazakhstan,Kyzyl-Orda,2666,2666,international grandmaster,international grandmaster,Qyzylorda Bilim-Innovation
nuip,,,Japan,Tokyo,2663,2880,international grandmaster,international grandmaster,
VladProg,Vladyslav,Zavodnyk,Ukraine,Kyiv,2662,2662,international grandmaster,international grandmaster,Kyiv NU
jacynkaa,Jacek,Salata,Poland,Krakow,2657,2754,international grandmaster,international grandmaster,Jagiellonian University
xumingkuan,Mingkuan,Xu,China,Beijing,2652,2782,international grandmaster,international grandmaster,Carnegie Mellon University
KevinWan,Kevin,Wan,Canada,Toronto,2651,2788,international grandmaster,international grandmaster,University of Waterloo
frodakcin,Siyong,Huang,United States,Sunnyvale,2647,2783,international grandmaster,international grandmaster,USACO
AndreySergunin,Andrey,Sergunin,Netherlands,Amsterdam,2646,2997,international grandmaster,international grandmaster,pinely
smiken,Kentaro,Sumigawa,Japan,Tokyo,2646,2646,international grandmaster,international grandmaster,
sqrtdecompton,Spencer,Compton,United States,,2645,2671,international grandmaster,international grandmaster,USACO
voover,Maciej,Wawro,Poland,Krakow,2645,2741,international grandmaster,international grandmaster,
wucstdio,Qingyue,Wu,China,Beijing,2644,2873,international grandmaster,international grandmaster,Peking University
waynetuinfor,Ta-Wei,Tu,Taiwan,Taipei,2637,2637,international grandmaster,international grandmaster,National Taiwan U
natofp,Łukasz,Pluta,Poland,Wrocław,2636,2736,international grandmaster,international grandmaster,University of Wrocław
MrDindows,Yevhen,Zadorozhnii,Ukraine,Zaporizhia,2633,2845,international grandmaster,international grandmaster,Looksery
SoMuchDrama,Tyoma,R,Kiribati,,2633,2633,international grandmaster,international grandmaster,
TadijaSebez,Tadija,Šebez,Serbia,Novi Sad,2633,3035,international grandmaster,legendary grandmaster,University of Novi Sad
dreamoon_love_AA,Huang,I-Wen,Taiwan,Taipei,2633,3002,international grandmaster,legendary grandmaster,AACPSCHOOL
Toxel,,,China,,2632,2901,international grandmaster,international grandmaster,Beihang University
orbitingflea,Renfei,Zhou,China,Hangzhou,2628,2746,international grandmaster,international grandmaster,Hangzhou Xuejun High School
Iscream2001,,,China,Wenzhou,2627,2627,international grandmaster,international grandmaster,Hangzhou Dianzi U
alex9801,Minkyu,Jo,South Korea,,2627,2627,international grandmaster,international grandmaster,KAIST
skylinebaby,,,Taiwan,Taipei,2625,2625,international grandmaster,international grandmaster,National Taiwan U
Bench0310,Benjamin,Bajd,Slovenia,Kranj,2621,2711,international grandmaster,international grandmaster,MIT
sadovan,Anton,Sadovnichiy,Russia,Moscow,2621,2642,international grandmaster,international grandmaster,Moscow IPT
gepardo,Alexander,Kernozhitsky,Belarus,Mogilev,2618,2820,international grandmaster,international grandmaster,
ooOAM,,,China,,2617,2617,international grandmaster,international grandmaster,Beijing Normal University
Deemo,Michael,Nematollahi,Canada,Toronto,2616,2804,international grandmaster,international grandmaster,University of Toronto
Farhod,Farkhod,Khakimiyon,Tajikistan,Dushanbe,2616,2976,international grandmaster,international grandmaster,ElectiCode
Crabby_Maskiv,,,China,Beijing,2615,2708,international grandmaster,international grandmaster,The Affiliated High School of Peking University
jerome_wei,Yanpeng,Wei,China,Chengdu,2614,2614,international grandmaster,international grandmaster,Chengdu No.7 High School
Jayce132,,,,,2613,2623,international grandmaster,international grandmaster,
ditoly,,,China,,2612,2612,international grandmaster,international grandmaster,
kostka,Bartosz,Kostka,Ukraine,,2603,2784,international grandmaster,international grandmaster,
Lewin,Lewin,Gan,United States,,2602,2839,international grandmaster,international grandmaster,
bazsi700,,,Hungary,Budapest,2601,2601,international grandmaster,international grandmaster,
MicGor,Michal,Gorniak,Poland,Wrocław,2600,2600,international grandmaster,international grandmaster,
ztc.,Tingchuan,Zhang,China,Chongqing,2600,2600,international grandmaster,international grandmaster,Chongqing Nankai Secondary School
Skywynne,Skywynne,Butterfly,,,2599,2665,grandmaster,international grandmaster,Mewni
nikolapesic2802,Nikola,Pešić,Serbia,Novi Sad,2596,2596,grandmaster,grandmaster,Tadija Sebez fan club
haj_lemon,,,Western Sahara,,2595,2595,grandmaster,grandmaster,Xin tang senior high school
gyz_gyz,Yizhen,Gu,China,Shaoxing,2594,2641,grandmaster,international grandmaster,Hangzhou Dianzi U
chokudai,Naohiro,Takahashi,Japan,Tokyo,2592,2592,grandmaster,grandmaster,AtCoder
