handle,first_name,last_name,country,city,rating,max_rating,rank,max_rank,organization
scott_wu,Scott,Wu,United States,San Francisco,3297,3350,legendary grandmaster,legendary grandmaster,USACO
ACRush,Tiancheng,Lou,China,,3047,3047,legendary grandmaster,legendary grandmaster,Pony.ai
neal,Neal,Wu,United States,,2855,3147,international grandmaster,legendary grandmaster,USACO
stevenkplus,Steven,Hao,United States,San Jose,2585,2874,grandmaster,international grandmaster,MIT
Ra16bit,Yury,Pisarchyk,Belarus,Minsk,2477,2742,grandmaster,international grandmaster,
Fdg,Dmytro,Ihnatenko,Ukraine,Kyiv,2432,2665,grandmaster,international grandmaster,Google
davidberard,David,Berard,Canada,,2432,2447,grandmaster,grandmaster,UBC
xiaowuc1,,,United States,San Francisco,2427,2656,grandmaster,international grandmaster,koosaga fan club
Suzukaze,,,,,2330,2358,international master,international master,University of Illinois at Urbana-Champaign
ll931110,Linh,Vuong Nguyen,United States,Menlo Park,2289,2372,master,international master,Facebook
Kenny_HORROR,Andrey,Malevich,Belarus,Minsk,2258,2438,master,grandmaster,Facebook
pmnox,Piotr,Mikulski,United States,Mountain View,2237,2237,master,master,imo.im
liymbear,Yang,Xiao,United States,Sunnyvale,2219,2379,master,international master,Google
NEU20133823,Sitan,Gao,China,,2212,2231,master,master,PolyExplore
Svlad_Cjelli,,,United States,,2204,2462,master,grandmaster,Google
dinosaurs,,,,,2188,2249,master,master,
yzyz,alex,dai,United States,,2168,2351,master,international master,USACO
Emiso,Emerson,Lucena,Brazil,João Pessoa,2167,2408,master,grandmaster,Federal University of Campina Grande
batyrkhan14,Batyrkhan,Orynkul,Kazakhstan,Taraz,2146,2146,master,master,Nazarbayev University
OpalDshawn,Shawn,Dong,United States,Sunnyvale,2145,2349,master,international master,Wish
tap_tapii,,,Switzerland,,2011,2362,candidate master,international master,Swiss Olympiad in Informatics
gojira,Eldar,Bogdanov,Georgia,Tbilisi,2008,2390,candidate master,international master,Asana
robot-dreams,Elliott,Jin,United States,San Francisco,1923,2166,candidate master,master,
kfqg,Michael,T,United States,,1909,2046,candidate master,candidate master,
