handle,first_name,last_name,country,city,rating,max_rating,rank,max_rank,organization
scott_wu,Scott,Wu,United States,San Francisco,3297,3350,legendary grandmaster,legendary grandmaster,USACO
Belonogov,Ivan,Belonogov,Russia,Perm,2690,2870,international grandmaster,international grandmaster,XTX Markets
Lewin,Lewin,Gan,United States,,2602,2839,international grandmaster,international grandmaster,
al13n,Michael,Kolupaev,United States,Palo Alto,2574,2965,grandmaster,international grandmaster,Facebook
LiChenKoh,Li Chen,Koh,Singapore,Singapore,2457,2457,grandmaster,grandmaster,
sdya,Dmytro,Soboliev,Ukraine,Kharkiv,2455,2797,grandmaster,international grandmaster,Kharkiv NU
fmqjpt,,,,,2431,2574,grandmaster,grandmaster,MIT
xiaowuc1,,,United States,San Francisco,2427,2656,grandmaster,international grandmaster,koosaga fan club
Jatana,Alexander,Shekhovtsov,Russia,Moscow,2318,2787,international master,international grandmaster,MEX Foundation
chenmark,Mark,Chen,United States,,2245,2290,master,master,USACO
ToTLeS,Ali,Shafiee,Iran,Tehran,2244,2800,master,international grandmaster,Allame Helli
architkarandikar,Archit,Karandikar,India,Pune,2206,2252,master,master,IIT Indore
yum,,,Canada,Calgary,2181,2196,master,master,University of Calgary
NgocHai,Dinh,Ngoc Hai,Vietnam,,2173,2308,master,international master,Twitter
yzyz,alex,dai,United States,,2168,2351,master,international master,USACO
Aviously,Avichal,Goel,United States,,2126,2232,master,master,MIT
farmersrice,farmersrice dot,me,,,2110,2110,master,master,MIT
SaveVMK,,,United States,Mountain View,2023,2337,candidate master,international master,Google
aandrew,Andrew,Haigh,,,2006,2006,candidate master,candidate master,
BIT-silence,Xiaomeng,Yang,United States,Sunnyvale,1611,2133,expert,master,Facebook
